timestamp (unix)	asset_composition (text)	asset_amounts (amounts)	btc_price ($)	total_portfolio_value ($)	pnl ($)	return (%)	apr (%)	net_gain_vs_hold ($)	capital_used_in_trading ($)	total_capital_locked ($)	lp_fees_earned ($)	trading_fees_paid ($)	gas_fees_paid ($)	max_drawdown (%)	max_gain (%)	impermanent_loss (%)	asset_exposure (%)	rebalancing_actions (#)	notes (text)
1748908800	cbBTC,USDC	0.04622396,5186.99	105469.63063229505	10307.13	307.13	3.071316	25.75	369.634586	10062.21	10062.21	244.918755	0.000000	5.000000	7.033089	6.457067	-0.001978	0.00	1	
1748995200	cbBTC,USDC	0.04622396,5186.99	104780.66253988381	10278.75	278.75	2.787543	25.38	373.510845	10030.37	10030.37	248.388219	0.000000	5.000000	7.033089	6.457067	-0.004576	0.00	1	
1749081600	cbBTC,USDC	0.04622396,5186.99	101610.49583520027	10142.87	142.87	1.428667	25.77	386.032734	9883.83	9883.83	259.038313	0.000000	5.000000	7.033089	6.457067	-0.031062	0.00	1	
1749168000	cbBTC,USDC	0.04622396,5186.99	104435.50889365697	10280.10	280.10	2.800987	25.74	391.013380	10014.41	10014.41	265.686961	0.000000	5.000000	7.033089	6.457067	-0.006290	0.00	1	
1749254400	cbBTC,USDC	0.04622396,5186.99	105662.43836444578	10339.77	339.77	3.397710	25.35	393.247797	10071.13	10071.13	268.645807	0.000000	5.000000	7.033089	6.457067	-0.001445	0.00	1	
1749340800	cbBTC,USDC	0.04622396,5186.99	105777.34968368892	10347.47	347.47	3.474660	24.93	395.563242	10076.44	10076.44	271.029101	0.000000	5.000000	7.033089	6.457067	-0.001168	0.00	1	
1749427200	cbBTC,USDC	0.04622396,5186.99	110282.41830993006	10564.63	564.63	5.646267	25.13	401.821893	10284.68	10284.68	279.947727	0.000000	5.000000	7.033089	6.457067	-0.012832	0.00	1	
1749513600	cbBTC,USDC	0.04622396,5186.99	110274.71387025053	10572.94	572.94	5.729393	25.31	410.495132	10284.32	10284.32	288.616417	0.000000	5.000000	7.033089	6.457067	-0.012776	0.00	1	
1749600000	cbBTC,USDC	0.04622396,5186.99	108675.65104993193	10506.05	506.05	5.060530	25.33	418.467992	10210.41	10210.41	295.645125	0.000000	5.000000	7.033089	6.457067	-0.003769	0.00	1	
1749686400	cbBTC,USDC	0.04622396,5186.99	105761.42769904966	10381.49	381.49	3.814949	25.62	430.337520	10075.70	10075.70	305.793978	0.000000	5.000000	7.033089	6.457067	-0.001205	0.00	1	
